Product,Price,Rack,Shelf,Qty
canvas board, as per MRP ,Lwood,A1,36
shoe laces,10,Lwood,A1,36
Photo frame,as per mrp or make adjustments,Lwood,A2,10
plastic crayons 28 shade,10 percent off on MRP,Lwood,A2,10
Neon pencil,50,Lwood,A3,10
Doms Karbonn pencil,60,Lwood,A3,10
camlin pencil supreme,50,Lwood,A3,10
camlin pencil supreme HD,60,Lwood,A3,10
doms,as per MRP,Lwood,A3,10
air dry clay,50,Lwood,A3,10
lead,5,Lwood,A3,10
coloring plate small,10,Lwood,A3,10
coloring plate big,20-25,Lwood,A3,10
Duster,25,Lwood,A4,10
Duster,30,Lwood,A4,10
unicorn kit,150 with packing,Lwood,A4,10
stapler pin,based on regular price,Lwood,A4,10
scale,5,Lwood,A4,10
d,5,Lwood,A4,10
sharpner,5,Lwood,A4,10
eraser,could be 3 or 5 or 1,Lwood,A4,10
Icecream sticks,as per MRP,Lwood,A5,10
batti,as per MRP,Lwood,A5,10
moli,as per MRP,Lwood,A5,10
hairdye brush,as per MRP,Lwood,A5,10
white chalk,as per MRP,Lwood,A6,10
wax crayons,as per MRP,Lwood,A6,10
glue,as per MRP,Lwood,A6,10
jali pouch,as per MRP,Lwood,B1,10
waterbottle,as per MRP,Lwood,B2,10
highlighter,as per MRP,Lwood,B3,10
fancy bangles,as per MRP,Lwood,B3,10
Red,as per MRP,Lwood,B4,10
dark red,as per MRP,Lwood,B4,10
deep red,as per MRP,Lwood,B4,10
mehroon,as per MRP,Lwood,B4,10
maroon,as per MRP,Lwood,B4,10
bangles,as per MRP,Lwood,B4,10
Cardboard photo,as per MRP,Lwood,B5,10
bhagwan photo,as per MRP,Lwood,B5,10
mata photo,as per MRP,Lwood,B5,10
inxify gel,as per MRP,Lwood,B5,10
doms gel,as per MRP,Lwood,B5,10
doms ball pen,as per MRP,Lwood,B6,10
glassy,as per MRP,Lwood,B6,10
kit,as per MRP,Lwood,B6,10
all the best,as per MRP,Lwood,B6,10
tota,as per MRP,Lwood,C1,10
parrot,as per MRP,Lwood,C1,10
hanuman ji,as per MRP,Lwood,C1,10
dry glitter,as per MRP,Lwood,C1,10
chamkili,as per MRP,Lwood,C1,10
kal nirnay,as per MRP,Lwood,C1,10
calendar,as per MRP,Lwood,C1,10
akhand batti,as per MRP,Lwood,C2,10
satin ribbon,as per MRP,Lwood,C2,10
lota,as per MRP,Lwood,C2,10
ladi,as per MRP,Lwood,C2,10
diwali ladi,as per MRP,Lwood,C2,10
decoration ladi,as per MRP,Lwood,C2,10
kheechne wali ladi,as per MRP,Lwood,C2,10
Ludo,as per MRP,Lwood,C3,10
goti,as per MRP,Lwood,C3,10
chess goti,as per MRP,Lwood,C3,10
carrom,as per MRP,Lwood,C3,10
black thread,as per MRP,Lwood,C3,10
kala dhaga,as per MRP,Lwood,C3,10
Red,as per MRP,Lwood,C4,10
dark red,as per MRP,Lwood,C4,10
deep red,as per MRP,Lwood,C4,10
mehroon,as per MRP,Lwood,C4,10
maroon,as per MRP,Lwood,C4,10
bangles,as per MRP,Lwood,C4,10
Frill,as per MRP,Lwood,C5,10
mirror,as per MRP,Lwood,C5,10
shringaar,as per MRP,Lwood,C5,10
Doms clay,as per MRP,Lwood,C6,10
100 clay,as per MRP,Lwood,C6,10
inxify ball,as per MRP,Lwood,C6,10
black ball,as per MRP,Lwood,C6,10
2inch tape,as per MRP,Lwood,C6,10
brown tape,as per MRP,Lwood,C6,10
all the best,as per MRP,Lwood,C6,10
Gota kinari,as per MRP,Lwood,D1,10
latkan,as per MRP,Lwood,D1,10
1.5 inch ribbon,as per MRP,Lwood,D1,10
choda ribbon,as per MRP,Lwood,D1,10
old ribbon,as per MRP,Lwood,D1,10
nukut,as per MRP,Lwood,D2,10
kangna,as per MRP,Lwood,D2,10
blouse latkan,as per MRP,Lwood,D2,10
flower making,as per MRP,Lwood,D2,10
Cloth hair band,as per MRP,Lwood,D3,10
kapda band,as per MRP,Lwood,D3,10
golden ring,as per MRP,Lwood,D3,10
Parandi,as per MRP,Lwood,D4,10
parde ki patti,as per MRP,Lwood,D4,10
funnel,as per MRP,Lwood,D4,10
candle making,as per MRP,Lwood,D4,10
skates,as per MRP,Lwood,D4,10
fancy bangles,as per MRP,Lwood,D5,10
hardik car,as per MRP,Lwood,D6,10
fevicol,as per MRP,Lwood,A6,100
